"Symbol","deg_1","deg_2","ndeg","ddeg","idx","degvcount","virus","gestation","deg_3","deg_4","deg_5","deg_6"
"SELE",-1,-1,6,-6,-36,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"SULT1C4",-1,-1,6,-6,-36,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"AADACL2",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"ADAMTS19",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,NA,-1,-1
"ASPN",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"CYP26A1",-1,NA,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"GRIK2",-1,NA,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"KCNA4",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"KCNH2",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"NALCN",-1,NA,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"PREX2",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"S1PR1",0,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"TMEM119",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,0
"USP9Y",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",0,-1,-1,-1
"XAGE3",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"ZNF664",-1,-1,5,-5,-25,"0.Down-regulated","HIV","Term",-1,-1,-1,0
"ACE2",NA,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"ACSS3",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",NA,-1,-1,-1
"ADGRF4",NA,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"AFF2",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,NA,-1,NA
"ANO2",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,NA
"AP1M2",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"ARHGEF26",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"ART4",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"AVPR1A",NA,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"CACNA2D2",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",NA,NA,-1,-1
"CD300LG",NA,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,NA,-1,-1
"CETP",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"CHODL",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",NA,-1,-1,NA
"CNTN6",NA,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"COL11A1",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"COL21A1",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"CXCR4",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,0,0
"DDX3Y",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,0,-1,-1
"DYRK1B",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,0,0
"ECRG4",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,NA
"EPHA3",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"FGB",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,NA
"FREM1",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"GRID1",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,NA,-1,NA
"HIF1A",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,-1,-1,0
"HOXC6",NA,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"KRT80",NA,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"LDB3",NA,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"LGI2",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,-1,-1,0
"LNX1",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",NA,NA,-1,-1
"MFSD4A",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,0
"MMRN1",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,NA
"MYL4",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"NEBL",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,NA,-1,-1
"PADI1",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,NA,-1,-1
"PDE1A",NA,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"PDIA2",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"PDZRN4",NA,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"PITX2",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"PKNOX2",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",NA,-1,-1,-1
"PRIMA1",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,NA,-1,NA
"RARB",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"REN",0,0,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,-1
"RGMA",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,0,0
"RGN",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"RIPK4",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",NA,-1,-1,-1
"RPS4Y1",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,0,-1,-1
"SLC25A29",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,-1,0,-1
"SLC5A3",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,0,-1,0
"SLC6A4",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,NA
"TNNT3",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,NA
"TRO",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",NA,-1,-1,-1
"TSPAN18",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",NA,NA,-1,-1
"TUBA3E",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",NA,-1,-1,NA
"UTY",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,0,-1,-1
"VASH2",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"VGLL1",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,-1,NA
"XAGE2",-1,NA,4,-4,-16,"0.Down-regulated","HIV","Term",-1,-1,NA,-1
"ZFY",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",0,0,-1,-1
"ZNF660-ZNF197",-1,-1,4,-4,-16,"0.Down-regulated","HIV","Term",-1,0,-1,0
"CALHM6",1,1,6,6,36,"2.Up-regulated","HIV","Term",1,1,1,1
"IFIT2",1,1,6,6,36,"2.Up-regulated","HIV","Term",1,1,1,1
"NUB1",1,1,6,6,36,"2.Up-regulated","HIV","Term",1,1,1,1
"PSMB8",1,1,6,6,36,"2.Up-regulated","HIV","Term",1,1,1,1
"PSMB9",1,1,6,6,36,"2.Up-regulated","HIV","Term",1,1,1,1
"APOL6",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"BATF2",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"BTN2A2",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"ETV7",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"GBP1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"GIMAP8",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"HLA-DRA",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"HLA-DRB1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"IL27",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"IRF1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"JAK2",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"LYPD5",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"NLRC5",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"RFX5",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"SCO2",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,1,0
"SLC27A3",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"SP140L",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"STAT1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"STAT2",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"TAGAP",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"TAP1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"TAP2",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"TRIM26",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"UBE2L6",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"WARS1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"XRN1",1,1,5,5,25,"2.Up-regulated","HIV","Term",1,1,0,1
"APOL2",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"C1QB",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"CARD16",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"CD74",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"CIITA",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"DAPP1",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"ELAVL4",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,1,0
"GBP2",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"GBP3",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"GBP4",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"GBP5",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"GIMAP1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"GIMAP6",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"HLA-DMA",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"HLA-DOA",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"HLA-DPA1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"HLA-DPB1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"HLA-DQA1",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"IFIT3",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,0,1,1
"IL12RB1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"KLHDC7B",1,0,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,1
"LRRK2",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"PDCD1LG2",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"PLA2G4A",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"PLAAT4",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"POLB",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"RNF19B",0,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,1
"RTP4",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,0,1,1
"SAMD9L",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"SECTM1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"SLC25A22",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"SUCNR1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"TAPBP",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"TAPBPL",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,0
"TRAFD1",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
"VPS9D1",0,1,4,4,16,"2.Up-regulated","HIV","Term",1,1,0,1
"ZBP1",1,1,4,4,16,"2.Up-regulated","HIV","Term",1,0,1,0
"ZNFX1",1,1,4,4,16,"2.Up-regulated","HIV","Term",0,1,0,1
